,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,成交量,成交金额
2018-12-21,'600522,中天科技,7.98,7.99,7.84,7.9,7.96,19997236,158448866.0
2018-12-20,'600522,中天科技,7.96,8.0,7.83,7.84,7.89,22500935,178332193.0
2018-12-19,'600522,中天科技,7.89,8.1,7.85,8.02,7.98,23604205,188273864.0
2018-12-18,'600522,中天科技,7.98,8.07,7.9,7.95,8.03,19668776,156948572.0
2018-12-17,'600522,中天科技,8.03,8.05,7.9,8.05,8.04,21095266,168254664.0
2018-12-14,'600522,中天科技,8.04,8.23,8.01,8.23,8.24,36496404,296444779.0
2018-12-13,'600522,中天科技,8.24,8.29,8.04,8.05,8.03,52556585,430990102.0
2018-12-12,'600522,中天科技,8.03,8.17,8.01,8.15,8.12,24239302,195297332.0
2018-12-11,'600522,中天科技,8.12,8.15,7.95,7.95,7.92,40615403,327633548.0
2018-12-10,'600522,中天科技,7.92,8.07,7.81,7.83,7.9,32276454,257098969.0
2018-12-07,'600522,中天科技,7.9,7.91,7.79,7.8,7.77,20420403,160458458.0
2018-12-06,'600522,中天科技,7.77,7.91,7.76,7.91,8.0,33287994,260150766.0
2018-12-05,'600522,中天科技,8.0,8.05,7.9,7.92,8.1,29152372,232589323.0
2018-12-04,'600522,中天科技,8.1,8.14,8.01,8.09,8.09,30971764,249967408.0
2018-12-03,'600522,中天科技,8.09,8.26,8.04,8.19,7.76,66979473,545551624.0
2018-11-30,'600522,中天科技,7.76,7.76,7.53,7.66,7.69,23377275,178878093.0
2018-11-29,'600522,中天科技,7.69,8.05,7.65,8.02,7.97,40101079,315126018.0
2018-11-28,'600522,中天科技,7.97,8.03,7.67,7.88,7.87,47020373,371077648.0
2018-11-27,'600522,中天科技,7.87,7.9,7.67,7.72,7.68,38429922,299959518.0
2018-11-26,'600522,中天科技,7.68,7.74,7.55,7.62,7.77,23406030,178639199.0
2018-11-23,'600522,中天科技,7.77,7.78,7.46,7.78,7.78,26988431,205102856.0
2018-11-22,'600522,中天科技,7.78,7.85,7.71,7.76,7.75,20595921,160329885.0
2018-11-21,'600522,中天科技,7.75,7.8,7.51,7.53,7.67,22812253,175318411.0
2018-11-20,'600522,中天科技,7.67,7.98,7.65,7.93,8.0,34942842,273058933.0
2018-11-19,'600522,中天科技,8.0,8.02,7.88,8.01,8.03,29063483,231220312.0
2018-11-16,'600522,中天科技,8.03,8.1,7.89,8.04,8.03,46595409,373024906.0
2018-11-15,'600522,中天科技,8.03,8.03,7.87,7.89,7.89,33481906,266530305.0
2018-11-14,'600522,中天科技,7.89,8.02,7.83,7.9,7.97,35830891,283422820.0
2018-11-13,'600522,中天科技,7.97,8.05,7.8,7.82,7.95,58488340,465082320.0
2018-11-12,'600522,中天科技,7.95,8.03,7.42,7.45,7.52,68995196,537893347.0
2018-11-09,'600522,中天科技,7.52,7.7,7.37,7.41,7.46,39301263,297239618.0
2018-11-08,'600522,中天科技,7.46,7.64,7.44,7.62,7.56,29165951,219494305.0
2018-11-07,'600522,中天科技,7.56,7.79,7.42,7.46,7.45,62731386,476650804.0
2018-11-06,'600522,中天科技,7.45,7.56,7.42,7.52,7.59,29187218,217892867.0
2018-11-05,'600522,中天科技,7.59,7.73,7.49,7.58,7.63,35045468,266384616.0
2018-11-02,'600522,中天科技,7.63,7.63,7.44,7.58,7.34,45310059,341476076.0
2018-11-01,'600522,中天科技,7.34,7.52,7.32,7.4,7.3,31954653,237087938.0
2018-10-31,'600522,中天科技,7.3,7.35,7.2,7.2,7.18,18514926,134984715.0
2018-10-30,'600522,中天科技,7.18,7.27,6.9,7.15,7.17,21612433,153608799.0
2018-10-29,'600522,中天科技,7.17,7.34,7.14,7.28,7.29,12953761,93803059.0
2018-10-26,'600522,中天科技,7.29,7.41,7.26,7.26,7.2,18011021,131973589.0
2018-10-25,'600522,中天科技,7.2,7.26,6.96,7.04,7.25,17886915,126571998.0
2018-10-24,'600522,中天科技,7.25,7.35,7.19,7.23,7.27,13534009,98380697.0
2018-10-23,'600522,中天科技,7.27,7.55,7.22,7.5,7.51,23321060,171743831.0
2018-10-22,'600522,中天科技,7.51,7.64,7.21,7.28,7.19,35164713,261772644.0
2018-10-19,'600522,中天科技,7.19,7.25,6.85,6.96,7.04,24767367,175650446.0
2018-10-18,'600522,中天科技,7.04,7.18,7.02,7.13,7.21,14403498,102001333.0
