,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,傖蝠講,傖蝠踢塗
2018-12-21,'600660,腦珓產薛,22.36,22.47,21.92,22.24,22.28,7346215,163717777.0
2018-12-20,'600660,腦珓產薛,22.28,22.5,22.2,22.28,22.32,5427867,121208791.0
2018-12-19,'600660,腦珓產薛,22.32,22.59,22.1,22.44,22.37,8094955,181680669.0
2018-12-18,'600660,腦珓產薛,22.37,22.43,21.97,22.09,22.19,8372968,186703042.0
2018-12-17,'600660,腦珓產薛,22.19,22.31,21.81,22.05,22.09,5286448,116818749.0
2018-12-14,'600660,腦珓產薛,22.09,22.29,21.9,22.09,22.08,7427246,164574173.0
2018-12-13,'600660,腦珓產薛,22.08,22.14,21.6,21.6,21.55,7873035,173048169.0
2018-12-12,'600660,腦珓產薛,21.55,21.66,21.48,21.51,21.44,4631691,99902160.0
2018-12-11,'600660,腦珓產薛,21.44,21.68,21.33,21.6,21.48,5189659,111486567.0
2018-12-10,'600660,腦珓產薛,21.48,21.84,21.45,21.84,21.96,5863637,126393819.0
2018-12-07,'600660,腦珓產薛,21.96,22.09,21.9,21.95,21.96,3764529,82763898.0
2018-12-06,'600660,腦珓產薛,21.96,22.32,21.9,22.1,22.3,6364222,140374043.0
2018-12-05,'600660,腦珓產薛,22.3,22.44,21.9,22.0,22.32,5666118,126076755.0
2018-12-04,'600660,腦珓產薛,22.32,22.5,22.18,22.4,22.39,6774843,151234234.0
2018-12-03,'600660,腦珓產薛,22.39,22.49,22.15,22.15,21.82,14338893,320942026.0
2018-11-30,'600660,腦珓產薛,21.82,21.95,21.07,21.52,21.4,7206034,154832662.0
2018-11-29,'600660,腦珓產薛,21.4,21.87,21.38,21.69,21.52,6094622,131922426.0
2018-11-28,'600660,腦珓產薛,21.52,21.66,21.25,21.61,21.61,5932475,127322309.0
2018-11-27,'600660,腦珓產薛,21.61,21.87,21.58,21.74,21.74,3707258,80399081.0
2018-11-26,'600660,腦珓產薛,21.74,21.99,21.51,21.88,21.82,4593183,99974743.0
2018-11-23,'600660,腦珓產薛,21.82,22.29,21.7,22.2,22.29,5718176,125413712.0
2018-11-22,'600660,腦珓產薛,22.29,22.33,22.1,22.17,22.15,6019450,133806489.0
2018-11-21,'600660,腦珓產薛,22.15,22.35,22.04,22.06,22.33,6554356,145187687.0
2018-11-20,'600660,腦珓產薛,22.33,22.53,22.1,22.35,22.76,9518266,212326833.0
2018-11-19,'600660,腦珓產薛,22.76,22.9,22.35,22.71,22.72,9893343,222927159.0
2018-11-16,'600660,腦珓產薛,22.72,22.76,22.58,22.75,22.66,7606717,172488744.0
2018-11-15,'600660,腦珓產薛,22.66,22.82,22.43,22.67,22.8,8947583,201936883.0
2018-11-14,'600660,腦珓產薛,22.8,22.96,22.56,22.75,22.91,6287302,143441769.0
2018-11-13,'600660,腦珓產薛,22.91,23.05,22.25,22.36,22.56,9688837,221129003.0
2018-11-12,'600660,腦珓產薛,22.56,22.67,22.11,22.26,22.27,6932952,155697342.0
2018-11-09,'600660,腦珓產薛,22.27,22.56,22.25,22.39,22.58,7831557,175074173.0
2018-11-08,'600660,腦珓產薛,22.58,23.02,22.35,22.96,22.8,9138071,206891036.0
2018-11-07,'600660,腦珓產薛,22.8,23.06,22.73,22.82,22.84,6684931,153149582.0
2018-11-06,'600660,腦珓產薛,22.84,22.98,22.66,22.8,22.8,5786808,132224728.0
2018-11-05,'600660,腦珓產薛,22.8,23.28,22.58,22.85,22.91,11031810,252390094.0
2018-11-02,'600660,腦珓產薛,22.91,22.98,22.43,22.79,22.18,16662352,379220428.0
2018-11-01,'600660,腦珓產薛,22.18,22.38,21.83,21.85,21.67,14470991,320876756.0
2018-10-31,'600660,腦珓產薛,21.67,21.88,21.24,21.24,21.21,9817298,211875004.0
2018-10-30,'600660,腦珓產薛,21.21,21.25,20.76,21.0,20.69,11355220,239274323.0
2018-10-29,'600660,腦珓產薛,20.69,21.8,20.41,21.8,21.97,18615641,389882779.0
2018-10-26,'600660,腦珓產薛,21.97,23.18,21.6,23.16,22.8,21890055,484802835.0
2018-10-25,'600660,腦珓產薛,22.8,22.98,22.5,22.52,23.09,7776780,176428709.0
2018-10-24,'600660,XD腦珓產,23.09,23.88,22.9,23.88,23.82,11240865,260709265.0
2018-10-23,'600660,腦珓產薛,24.22,25.0,24.01,24.98,24.98,9917866,241672624.0
2018-10-22,'600660,腦珓產薛,24.98,25.12,23.8,23.8,23.76,11196274,275329342.0
2018-10-19,'600660,腦珓產薛,23.76,23.8,22.9,23.05,23.26,8656270,202734040.0
2018-10-18,'600660,腦珓產薛,23.26,23.81,23.26,23.69,23.9,7455138,174585776.0
2018-10-17,'600660,腦珓產薛,23.9,24.14,23.41,23.99,23.7,5994669,142535880.0
2018-10-16,'600660,腦珓產薛,23.7,24.0,23.38,23.87,23.74,9218217,218683115.0
2018-10-15,'600660,腦珓產薛,23.74,24.59,23.65,24.25,24.45,7764324,186886558.0
2018-10-12,'600660,腦珓產薛,24.45,24.75,23.57,23.93,23.97,8339127,201896072.0
