,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2008-12-31,"291,212.08","291,212.08","270,170.07","234,936.00","1,784.07","20,593.32","6,805.43","5,135.15",916.11,68.45,-515.99,--,--,"20,594.46","1,258.29",344.87,19.53,"21,507.88","4,355.67","17,152.21","14,601.50","2,550.71",0.5390,0.5390,--,--,--,--,600522
2008-09-30,"211,900.93","211,900.93","197,910.15","176,704.06","1,527.75","11,798.96","4,391.52","2,866.99",620.87,-205.99,393.07,540.00,--,"14,177.88","1,285.71",281.20,--,"15,182.38","3,408.42","11,773.96","9,839.96","1,934.01",0.3630,0.3630,--,--,--,--,600522
2008-06-30,"140,678.56","140,678.56","129,800.93","116,955.44","1,354.76","6,117.01","2,960.20","1,741.46",672.05,75.15,428.71,--,--,"11,381.49",968.23,185.57,--,"12,164.16","2,553.13","9,611.03","8,212.76","1,398.28",0.3030,0.3030,--,--,--,--,600522
2008-03-31,"52,379.23","52,379.23","48,565.40","41,926.85","1,053.40","3,237.78","1,376.14",971.23,--,183.19,-82.02,--,--,"3,915.01",217.40,64.90,--,"4,067.51",721.11,"3,346.40","2,777.14",569.27,0.1000,0.1000,--,--,--,--,600522
2009-12-31,"372,400.18","372,400.18","327,817.79","281,231.44","3,423.36","27,180.90","11,341.89","3,482.38","1,157.82",207.70,"1,425.14",--,--,"46,215.23","1,903.53","1,069.47",53.77,"47,049.29","8,718.05","38,331.24","33,498.39","4,832.85",1.0870,1.0870,"2,193.22","40,524.45","35,603.73","4,920.72",600522
2009-09-30,"256,184.87","256,184.87","226,317.44","193,724.48","2,530.55","19,549.19","6,988.54","2,487.83","1,036.85",102.34,"2,923.58",759.24,--,"32,893.36","1,265.20",299.74,--,"33,858.82","6,536.46","27,322.35","23,612.55","3,709.80",0.7760,0.7760,--,--,--,--,600522
2009-06-30,"183,286.68","183,286.68","162,597.11","140,783.54","2,272.55","12,748.41","4,262.13","1,432.56","1,097.92",102.34,"1,594.98",759.24,--,"22,386.89",821.05,223.27,--,"22,984.67","4,604.55","18,380.12","15,514.65","2,865.47",0.5240,0.5240,--,--,--,--,600522
2009-03-31,"70,139.04","70,139.04","63,335.78","54,754.88",183.16,"4,899.68","2,058.96",850.80,588.30,102.34,291.58,--,--,"7,197.17",494.18,136.15,2.30,"7,555.20","1,307.00","6,248.21","5,632.11",616.09,0.2080,0.2080,--,--,--,--,600522
2010-12-31,"434,695.55","434,695.55","387,608.25","338,594.92","1,335.41","27,731.86","12,757.68","5,685.19","1,503.20",-65.10,"5,177.80",--,--,"52,200.00","2,636.43",622.61,93.64,"54,213.82","8,334.59","45,879.24","43,691.63","2,187.60",1.3620,1.3620,"-2,042.87","43,836.37","41,749.92","2,086.45",600522
2010-09-30,"305,335.08","305,335.08","269,715.50","234,885.76",935.95,"19,647.98","8,765.19","4,151.96","1,328.65",-406.10,"3,991.98",--,--,"39,205.47","1,622.02",455.59,38.38,"40,371.90","6,564.52","33,807.37","32,134.22","1,673.16",1.0020,1.0020,"-2,183.42","31,623.96","30,057.31","1,566.65",600522
