,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2008-12-31,"246,158.60",--,--,"251,221.62","79,457.05","16,860.70",--,--,"7,343.67",--,"185,291.72",--,--,--,--,--,"786,333.36",--,549.27,--,--,"138,355.75",--,"245,592.15","20,402.50",--,--,--,--,--,"13,494.40",--,--,61.50,"18,270.86",--,"436,726.42","1,223,059.78","17,470.00",--,"63,876.97","161,406.33","102,525.93",--,"9,011.03","-9,331.49",--,"26,726.90","68,788.27",--,--,--,"3,980.00",--,"444,453.93","7,940.00",--,--,--,--,--,63.92,--,496.16,"8,500.08","452,954.00","133,851.88","300,577.35",--,--,--,"116,076.72",--,"126,894.62","677,400.57","92,705.20","770,105.77","1,223,059.78",600690
2008-09-30,"172,655.00",--,--,"280,383.09","106,377.18","19,866.58",--,--,"16,908.80",--,"230,486.23",--,--,--,--,1.28,"826,678.16",--,693.98,--,--,"138,957.92",--,"240,402.74","18,393.10",--,--,--,--,--,"13,820.48",--,--,230.98,"14,546.31",--,"427,045.50","1,253,723.67","17,470.00",--,"42,402.28","167,636.65","117,393.77",--,"5,874.92","10,548.53",--,--,"11,399.31",--,--,--,--,"96,643.59","469,369.04","11,920.00",--,--,--,--,--,142.70,--,541.27,"12,603.97","481,973.01","133,851.88","300,633.94",--,--,--,"113,328.96",--,"130,405.32","678,220.09","93,530.57","771,750.66","1,253,723.67",600690
2008-06-30,"249,716.96",--,--,"183,854.43","137,819.21","10,967.72",--,--,"13,237.87",--,"355,106.10",--,--,--,--,1.28,"950,703.58",--,859.21,--,--,"67,728.69",--,"237,421.98","19,714.25",--,-573.63,--,--,--,"14,120.55",--,--,155.06,"14,933.42",--,"354,359.53","1,305,063.11","17,570.00",--,"48,214.29","229,285.02","117,686.55",--,"6,532.70","7,077.12",--,--,"40,891.69",--,--,--,--,"77,867.04","545,124.40","11,920.00",--,--,--,--,--,132.49,--,586.38,"12,638.87","557,763.27","133,851.88","300,782.91",--,--,--,"113,328.96",--,"110,208.55","658,172.29","89,127.55","747,299.84","1,305,063.11",600690
2008-03-31,"250,012.50",--,--,"244,096.65","155,915.36","20,352.25",--,--,"11,193.98",--,"416,940.94",--,--,--,--,130.50,"1,098,642.18",--,"1,289.54",--,--,"62,367.99",--,"230,793.82","26,256.29",--,--,--,--,--,"14,381.94",--,--,77.67,"11,129.91",--,"346,297.15","1,444,939.33","8,170.00",--,"90,374.36","433,027.30","75,380.69",--,"6,704.30",532.49,--,--,"15,057.09",--,--,--,--,"80,949.92","710,196.15","8,940.00",--,--,--,--,--,209.95,--,631.49,"9,781.43","719,977.59","133,851.88","301,101.24",--,--,--,"113,328.96",--,"99,395.44","647,677.51","77,284.24","724,961.75","1,444,939.33",600690
2009-12-31,"628,245.35",--,--,"350,503.22","120,464.92","9,728.92",--,--,"6,309.47",--,"174,254.25",--,--,--,--,--,"1,289,506.13",--,"1,089.32",--,--,"152,725.93",--,"244,948.15","26,191.38",--,--,--,--,--,"19,791.84",--,--,116.03,"15,346.49",--,"460,209.12","1,749,715.25",--,--,"261,496.94","315,689.27","98,938.64",--,"29,479.00","13,096.03",--,"28,094.02","119,029.76",--,--,--,"3,980.00",--,"869,803.65",--,--,--,--,--,--,144.92,--,"4,542.77","4,687.69","874,491.35","133,851.88","303,052.89",--,--,--,"123,175.61",--,"211,992.97","772,073.35","103,150.56","875,223.90","1,749,715.25",600690
2009-09-30,"651,412.21",--,--,"308,962.21","107,158.96","10,173.71",--,--,"2,492.55",--,"156,287.03",--,--,--,--,--,"1,236,486.66",--,956.74,--,--,"151,969.78",--,"243,712.34","26,422.34",--,--,--,--,--,"15,881.10",--,--,69.06,"15,714.36",--,"454,725.72","1,691,212.38","9,135.29",--,"133,681.16","354,066.03","78,165.07",--,"8,800.48","20,609.22",--,"17,429.05","198,585.12",--,--,--,"3,980.00",--,"824,451.42",--,--,--,--,--,--,126.67,--,741.21,867.88,"825,319.30","133,851.88","300,870.86",--,--,--,"116,076.72",--,"203,460.85","754,260.31","111,632.77","865,893.08","1,691,212.38",600690
2009-06-30,"591,934.12",--,--,"201,932.59","101,834.51","6,713.44",--,--,"6,475.02",--,"184,688.45",--,--,--,--,--,"1,093,578.13",--,"1,030.01",--,--,"146,898.61",--,"247,768.39","18,917.60",--,--,--,--,--,"16,168.11",--,--,51.97,"22,766.07",--,"453,600.76","1,547,178.89","12,516.64",--,"62,685.90","290,634.38","160,582.25",--,"8,903.67","13,281.02",--,"21,663.45","113,396.84",--,--,--,"7,940.00",--,"691,604.16","3,980.00",--,--,--,--,--,137.66,--,586.20,"4,703.86","696,308.02","133,851.88","300,923.45",--,--,--,"116,076.72",--,"193,469.62","744,321.66","106,549.22","850,870.88","1,547,178.89",600690
2009-03-31,"302,738.73",--,--,"253,107.94","99,333.75","15,701.58",--,--,"7,040.35",--,"216,624.43",--,--,--,--,--,"894,546.78",--,674.22,--,--,"142,337.81",--,"241,182.54","20,605.80",--,104.32,--,--,--,"13,312.73",--,--,56.74,"20,975.13",--,"439,249.29","1,333,796.07","18,931.75",--,"23,523.03","274,283.74","119,020.98",--,"8,310.18","4,323.21",--,"23,972.03","65,064.77",--,--,--,"3,980.00",--,"541,409.69","7,940.00",--,--,--,--,--,82.66,--,451.05,"8,473.71","549,883.40","133,851.88","300,683.57",--,--,--,"116,076.72",--,"137,295.31","687,907.47","96,005.20","783,912.67","1,333,796.07",600690
2010-12-31,"1,043,420.92",--,--,"735,663.25","238,274.87","61,239.19","4,362.49",510.07,"16,773.43",--,"406,607.01",--,--,--,--,--,"2,506,851.23",--,"1,651.65",--,--,"115,238.49","3,074.86","404,594.16","67,323.19",--,--,--,--,--,"38,080.59",--,--,340.81,"42,789.87",--,"673,093.62","3,179,944.85","89,613.63",--,"473,986.99","697,826.81","200,064.29",--,"69,458.04","82,683.45","1,693.50","67,005.10","334,486.41",--,--,--,--,--,"2,016,818.24","11,500.00",--,--,--,--,"101,118.88","1,009.71",--,"8,373.44","122,002.03","2,138,820.27","133,996.18","246,338.47",--,--,--,"146,157.80",--,"259,888.71","787,227.72","253,896.86","1,041,124.58","3,179,944.85",600690
2010-09-30,"1,114,651.13",--,--,"595,436.15","263,761.71","26,620.92",203.16,--,"8,173.29",--,"301,778.29",--,--,--,--,--,"2,310,624.64",--,808.67,--,--,"105,097.79","1,744.72","292,371.56","48,580.27",--,--,--,--,--,"25,944.13",--,--,58.18,"19,626.11",--,"494,231.42","2,804,856.07","50,543.68",--,"426,379.46","632,744.17","125,741.21",--,"42,046.61","24,964.05",--,"34,900.67","426,067.54",--,--,--,"3,900.00",--,"1,767,287.39","3,500.00",--,--,--,--,"82,984.24","1,027.15",--,"4,085.28","91,596.66","1,858,884.05","133,851.88","31,070.63",--,--,--,"136,821.86",--,"426,946.46","729,349.01","216,623.01","945,972.02","2,804,856.07",600690
