,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2009-12-31,"2,290,484.29",237.11,--,"1,083,655.13","91,452.60","148,844.45","8,120.13",--,"15,809.82","35,052.42","582,364.43",--,--,--,--,"5,061.17","4,261,081.55","166,610.20","75,740.06",--,--,701.60,"11,413.13","460,843.66","21,112.39",--,100.01,--,--,--,"50,485.77",--,--,328.02,"104,608.68",--,"891,943.51","5,153,025.07","96,163.29",--,"839,333.76","1,165,013.23","887,194.68",--,"60,600.71","113,378.69","1,095.44",70.79,"90,633.83",--,--,--,--,"624,736.38","4,083,924.40",--,--,--,--,--,--,"2,962.14",--,870.00,"3,832.14","4,087,756.54","187,859.25","18,347.05",--,--,--,"196,790.60",340.28,"590,221.56","996,990.03","68,278.50","1,065,268.53","5,153,025.07",000651
2009-09-30,"2,583,366.33",4.35,--,"1,518,213.40","92,866.66","108,421.52","3,654.92",--,"26,672.53",--,"349,959.38",--,--,--,--,--,"4,683,159.09","127,000.00",--,"45,000.00",--,822.23,"11,590.41","427,584.40","39,673.85",--,136.22,--,--,--,"50,678.94",--,--,17.50,"86,980.20",--,"789,483.73","5,472,642.82","46,609.93",--,"1,230,519.30","1,225,207.00","1,217,239.75",--,"24,747.24","62,924.45",316.94,70.79,"99,728.63",--,--,--,--,"516,487.80","4,520,519.48",--,--,--,--,--,--,730.98,--,--,730.98,"4,521,250.47","187,859.25","15,312.82",--,--,--,"171,530.74",292.30,"523,372.75","901,213.83","50,178.53","951,392.35","5,472,642.82",000651
2009-06-30,"2,323,586.62",--,--,"500,671.16","168,340.70","93,099.58","1,835.10",--,"5,927.52",--,"288,344.56",--,--,--,--,--,"3,381,805.24","40,000.00",--,--,--,638.39,"7,863.86","436,117.52","33,022.28",--,380.17,--,--,--,"49,104.81",--,--,31.16,"70,548.28",--,"637,706.46","4,019,511.70","31,674.07",--,"979,295.73","1,257,237.98","231,724.27",--,"17,102.36","38,181.97",35.53,268.79,"96,068.74",--,--,--,--,"404,221.68","3,146,154.52",--,--,--,--,--,--,367.02,--,--,367.02,"3,146,521.54","187,859.25","15,312.82",--,--,--,"171,530.74",292.30,"447,352.13","823,152.47","49,837.70","872,990.16","4,019,511.70",000651
2009-03-31,"1,601,521.18",--,--,"558,285.22","163,131.18","108,968.49","1,455.57",--,"10,729.54",--,"317,310.72",--,--,--,--,--,"2,761,401.90","72,615.20",--,--,--,5.78,"7,951.91","438,335.85","25,876.61",--,93.84,--,--,--,"44,693.55",--,--,677.56,"77,706.69",--,"667,956.98","3,429,358.88","4,851.26",--,"490,209.01","954,745.71","487,470.05",--,"13,308.55","87,099.52",72.36,268.79,"88,689.20",--,--,--,--,"454,731.27","2,603,046.92",--,--,--,--,--,--,291.12,--,--,291.12,"2,603,338.03","125,239.50","77,932.57",--,--,--,"171,530.74",292.30,"417,179.84","789,707.02","36,313.84","826,020.85","3,429,358.88",000651
2010-12-31,"1,516,612.75","7,219.57",--,"2,205,581.93","119,892.49","255,979.90","18,039.08",--,"31,245.86","134,646.90","1,155,916.73",--,--,--,--,"8,136.64","5,453,271.86","156,153.73","109,394.23",--,--,"2,178.71","17,146.80","552,797.99","10,051.56",--,6.10,--,--,--,"104,949.09",--,--,"1,607.67","152,880.09",--,"1,107,165.95","6,560,437.81","190,037.95",--,"894,456.40","1,379,491.44","1,200,621.09",--,"77,275.84","85,555.85","1,925.78",70.79,"99,074.12",--,--,--,--,"893,165.46","4,967,494.75","185,382.70",--,--,--,--,--,"5,382.76",--,"1,006.78","191,772.24","5,159,266.99","281,788.88","19,083.00",--,--,--,"223,601.37",416.39,"803,047.59","1,330,255.48","70,915.34","1,401,170.82","6,560,437.81",000651
2010-09-30,"1,971,765.47","4,730.34",--,"2,016,686.44","111,910.97","255,961.98","14,996.41",--,"26,269.31","97,760.00","705,899.22",--,--,--,--,"12,608.95","5,218,589.09","253,641.08","115,354.14",--,--,401.92,"17,294.13","492,504.16","21,242.12",--,229.39,--,--,--,"53,530.44",--,--,532.38,"138,427.46",--,"1,093,157.21","6,311,746.29","192,901.66",--,"939,455.36","1,301,531.03","1,261,929.04",--,"47,590.12","93,062.78","2,071.90",70.79,"97,772.06",--,--,--,--,"851,081.93","4,928,229.07","110,217.74",--,--,--,--,--,"6,117.06",--,742.81,"117,077.61","5,045,306.68","281,788.88","23,406.41",--,--,--,"196,790.60",340.28,"691,369.93","1,197,115.59","69,324.02","1,266,439.61","6,311,746.29",000651
2010-06-30,"2,340,661.28","7,990.52",--,"480,276.10","193,255.27","142,088.82","17,002.58",--,"22,509.02",--,"634,021.51",--,--,--,--,"3,873.30","3,841,678.39","290,120.69","121,445.98",--,--,482.50,"11,449.68","484,493.65","21,206.32",--,249.42,--,--,--,"53,222.94",--,--,373.90,"113,183.04",--,"1,096,228.14","4,937,906.53","250,156.16",--,"760,955.80","1,135,462.92","459,898.24",--,"44,326.75","44,270.48","1,732.23","94,000.42","111,554.85",--,--,--,--,"676,405.70","3,786,792.10","16,429.31",--,--,--,--,--,"6,044.44",--,843.38,"23,317.13","3,810,109.23","187,859.25","18,382.52",--,--,--,"196,790.60",340.28,"653,553.16","1,059,147.80","68,649.50","1,127,797.30","4,937,906.53",000651
2010-03-31,"2,454,944.69","2,718.39",--,"586,171.84","215,345.69","167,052.62","13,759.32",--,"31,957.97",--,"692,574.38",--,--,--,--,"8,718.63","4,173,243.53","249,102.40","112,417.47",--,--,659.44,"11,546.36","463,636.30","34,264.81",--,111.90,--,--,--,"50,323.33",--,--,303.43,"112,782.37",--,"1,035,147.81","5,208,391.34","164,670.17",--,"696,704.55","1,104,077.77","908,953.59",--,"39,588.29","118,729.27",935.40,70.79,"100,856.97",--,--,--,--,"686,353.89","4,072,271.14",--,--,--,--,--,--,"5,510.36",--,"1,640.77","7,151.13","4,079,422.26","187,859.25","21,140.07",--,--,--,"196,790.60",340.28,"654,127.11","1,060,402.72","68,566.36","1,128,969.08","5,208,391.34",000651
2011-12-31,"1,604,080.98","1,648.91",--,"3,366,509.00","122,679.38","231,561.55","24,273.97",--,"63,447.62",--,"1,750,310.73",--,--,--,--,"11,048.90","7,175,561.05",--,--,--,--,"1,687.66","19,763.05","770,913.71","217,166.13",--,62.47,--,--,--,"162,216.44",--,--,"4,815.66","168,973.25",--,"1,345,598.37","8,521,159.42","273,928.64",--,"1,064,412.12","1,563,636.33","1,975,269.37",--,"72,942.90","-67,956.94","1,659.42",70.79,"333,643.59",--,--,--,"217,661.57","958,899.49","6,419,301.56","258,220.49",--,--,--,--,--,"4,316.78",--,"1,605.14","264,142.41","6,683,443.97","281,788.88","11,016.70",--,--,--,"250,108.21",564.54,"1,215,549.80","1,760,686.58","77,028.87","1,837,715.45","8,521,159.42",000651
2011-09-30,"1,990,992.68","4,269.71",--,"3,643,276.38","203,282.05","271,199.15","20,266.01",--,"64,791.28",--,"1,295,793.44",--,--,--,--,"1,582.98","7,495,453.69",--,--,--,--,"1,786.80","17,402.36","629,161.80","231,907.50",--,"1,542.28",--,--,--,"136,484.11",--,--,"3,793.07","174,279.97",--,"1,196,357.88","8,691,811.57","237,795.69",--,"973,578.42","1,558,416.06","2,294,118.73",--,"52,927.13","75,728.72","1,354.38",70.79,"228,461.98",--,--,--,--,"1,042,961.73","6,472,142.37","529,827.74",--,--,--,--,--,"4,008.52",--,746.18,"534,582.45","7,006,724.81","281,788.88","8,344.42",--,--,--,"223,601.37",416.39,"1,095,765.91","1,610,704.34","74,382.41","1,685,086.76","8,691,811.57",000651
