,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2008-12-31,"1,707,139.25","26,173.17","15,713.33","1,749,025.74","1,003,431.62","189,950.20","143,298.85","280,586.12","1,617,266.78","131,758.96",24.20,"2,591.39",286.89,--,158.11,"3,060.59","40,209.13","68,259.95",--,175.59,"108,644.67","-105,584.08",245.00,--,"17,950.00",--,--,"18,195.00","6,200.00","34,294.44",--,--,"40,494.44","-22,299.44",--,"3,875.44","242,083.16","245,958.60","97,869.86",--,--,"5,149.11","31,395.50","1,156.35","1,270.87",--,--,435.78,--,--,--,--,"1,671.82","-15,105.84","-10,117.86",-280.82,"105,905.63","-111,780.60","24,189.16",--,--,--,"131,758.96",--,--,--,"245,958.60","242,083.16",--,--,"3,875.44",600690
2008-09-30,"1,355,860.53","14,486.29","11,049.30","1,381,396.12","870,550.56","136,777.02","106,096.47","231,875.19","1,345,299.24","36,096.87",24.20,"2,591.39",221.07,--,--,"2,836.66","33,115.13","69,652.85",--,--,"102,767.99","-99,931.33",245.00,245.00,"17,950.00",--,21.54,"18,216.54","6,200.00","17,551.96",--,--,"23,751.96","-5,535.42",-58.28,"-69,428.17","242,083.16","172,655.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"172,655.00","242,083.16",--,--,"-69,428.17",600690
2008-06-30,"708,087.73","11,391.34","14,600.05","734,079.11","405,751.80","92,935.15","66,835.03","136,782.86","702,304.84","31,774.27",--,--,216.04,--,--,216.04,"18,096.88","1,583.88",--,--,"19,680.76","-19,464.72",245.00,245.00,"15,050.00",--,17.93,"15,312.93","3,200.00","16,706.81",--,29.46,"19,936.27","-4,623.34",-52.41,"7,633.80","242,083.16","249,716.96","71,150.65",--,--,"4,414.80","15,536.66",530.20,"1,833.74",--,--,-12.78,--,--,--,--,755.99,"-6,720.00","-6,780.41",-212.25,"-62,239.48","-81,986.84","95,504.02",--,--,--,"31,774.27",--,--,--,"249,716.96","242,083.16",--,--,"7,633.80",600690
2008-03-31,"278,248.82","3,185.50","6,717.19","288,151.51","143,622.72","42,872.13","18,878.70","59,961.58","265,335.13","22,816.38",--,--,89.69,--,--,89.69,"12,456.26","1,583.88",--,--,"14,040.14","-13,950.45",--,--,"1,970.00",--,17.93,"1,987.93","2,500.00",294.19,--,4.43,"2,798.62",-810.68,-125.91,"7,929.33","242,083.16","250,012.50",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"250,012.50","242,083.16",--,--,"7,929.33",600690
2009-12-31,"2,385,889.38","12,447.50","23,213.63","2,421,550.50","1,257,609.79","204,033.46","193,719.21","303,561.79","1,958,924.25","462,626.25",--,"2,636.96",28.50,--,--,"2,665.46","26,280.80",--,--,--,"26,280.80","-23,615.33",--,--,"18,994.64",--,--,"18,994.64","44,404.64","31,514.17",--,--,"75,918.81","-56,924.17",--,"382,086.75","245,958.60","628,045.35","137,460.81",--,--,"2,566.15","34,365.64","1,325.07",39.48,--,--,239.65,--,--,--,--,"1,240.39","-16,707.18","2,924.38",--,"10,795.64","-134,227.37","422,603.59",--,--,--,"462,626.25",--,--,--,"628,045.35","245,958.60",--,--,"382,086.75",600690
2009-09-30,"1,679,526.27","12,640.71","6,547.03","1,698,714.01","719,681.04","154,314.50","159,714.86","193,746.26","1,227,456.65","471,257.36",--,"2,591.39",28.50,--,--,"2,619.89","20,824.06",--,--,--,"20,824.06","-18,204.17",--,--,"16,516.64",--,--,"16,516.64","32,791.35","31,324.88",--,--,"64,116.23","-47,599.59",--,"405,453.61","245,958.60","651,412.21",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"651,412.21","245,958.60",--,--,"405,453.61",600690
2009-06-30,"1,158,047.38","3,829.61","4,194.54","1,166,071.52","465,488.77","102,322.76","95,268.86","136,966.85","800,047.23","366,024.29",--,"2,591.39",28.50,--,--,"2,619.89","11,813.52",--,--,--,"11,813.52","-9,193.62",--,--,"14,616.64",--,--,"14,616.64","19,570.00","6,432.16",--,--,"26,002.16","-11,385.52",--,"345,445.15","245,958.60","591,403.74","81,178.11",--,--,125.82,"16,706.06",571.23,9.53,--,--,21.08,--,--,--,--,880.07,"-11,134.25","-4,495.21",73.75,603.27,"91,872.09","189,612.74",--,--,--,"366,024.29",--,--,--,"591,403.74","245,958.60",--,--,"345,445.15",600690
2009-03-31,"272,492.53","2,045.16","3,672.42","278,210.11","56,183.50","47,481.15","40,083.91","69,403.17","213,151.74","65,058.38",--,--,28.50,--,--,28.50,"6,567.86",--,--,--,"6,567.86","-6,539.36",--,--,"2,631.75",--,--,"2,631.75",970.00,"3,400.63",--,--,"4,370.63","-1,738.88",--,"56,780.13","245,958.60","302,738.73",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"302,738.73","245,958.60",--,--,"56,780.13",600690
2010-12-31,"5,659,041.05","27,561.97","82,520.11","5,769,123.13","3,922,318.87","400,426.05","263,024.32","624,991.35","5,210,760.59","558,362.54",102.74,"25,934.99",536.11,195.58,--,"26,769.42","126,421.65","253,390.88",--,--,"379,812.53","-353,043.11","13,509.52",--,"217,090.21",--,--,"230,599.73","186,883.03","60,829.66",--,--,"247,712.69","-17,112.96","-6,409.14","181,797.33","781,123.62","962,920.95","282,428.42",--,--,"4,635.04","43,225.69","1,642.25",76.89,--,--,304.13,--,--,--,--,"10,034.27","-26,366.60","-21,407.57",--,"-146,194.67","-191,440.81","591,946.41",--,--,"9,479.08","558,362.54",--,--,--,"962,920.95","781,123.62",--,--,"181,797.33",600690
2010-09-30,"4,645,781.60","19,360.04","73,596.45","4,738,738.09","3,157,462.89","292,537.40","240,798.49","447,692.67","4,138,491.45","600,246.64",--,"25,788.11",143.03,--,--,"25,931.14","59,749.44","202,339.59",--,--,"262,089.04","-236,157.90","1,558.91",--,"177,219.08",--,--,"178,777.99","130,407.60","54,803.08",--,--,"185,210.68","-6,432.69",-777.57,"356,878.48","757,572.65","1,114,451.13",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,114,451.13","757,572.65",--,--,"356,878.48",600690
