,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2008-12-31,"3,040,803.93","3,040,803.93","2,939,236.71","2,337,598.61","9,545.41","407,459.42","169,118.65","10,365.53","5,149.11",--,"15,105.84",--,--,"116,673.06","3,434.50","6,394.89",--,"113,712.67","15,842.82","97,869.86","76,817.81","21,052.05",0.5740,0.5740,--,--,--,--,600690
2008-09-30,"2,596,484.31","2,596,484.31","2,483,615.13","2,013,090.87","6,509.23","321,493.64","129,192.14","10,357.15","2,972.10",--,"11,974.94",--,--,"124,844.11","3,363.73","6,051.45",--,"122,156.40","26,372.99","95,783.40","75,083.04","20,700.37",0.5610,0.5610,--,--,--,--,600690
2008-06-30,"1,890,248.96","1,890,248.96","1,805,602.03","1,424,330.20","3,972.44","264,943.69","99,742.27","8,198.62","4,414.80",--,"6,712.85",--,--,"91,359.78","2,239.66","3,026.10",--,"90,573.34","19,429.84","71,143.49","54,886.27","16,257.22",0.4100,0.4100,--,--,--,--,600690
2008-03-31,"823,608.45","823,608.45","801,640.82","625,949.25","1,718.52","102,403.05","60,592.47","5,424.28","5,553.23",--,653.85,--,--,"22,621.49","1,614.71",52.58,--,"24,183.62","4,298.21","19,885.41","17,302.78","2,582.63",0.1290,0.1290,--,--,--,--,600690
2009-12-31,"3,297,941.94","3,297,941.94","3,151,598.98","2,426,314.73","13,473.82","498,418.75","211,622.11",-796.58,"2,566.15",--,"16,707.18",--,--,"163,050.13","11,613.43",648.53,--,"174,015.04","36,554.23","137,460.81","114,947.46","22,513.35",0.8590,0.8560,769.01,"138,229.83","115,628.47","22,601.35",600690
2009-09-30,"2,657,716.39","2,657,716.39","2,531,490.76","1,937,016.67","11,081.78","390,654.11","189,977.32","2,512.77",248.12,--,"16,283.85",--,--,"142,509.49","5,365.06",589.65,--,"147,284.90","30,945.83","116,339.07","96,644.00","19,695.07",0.7220,0.7220,--,--,--,--,600690
2009-06-30,"1,660,564.43","1,660,564.43","1,572,073.46","1,219,020.96","6,918.25","230,818.03","112,568.72","2,621.69",125.82,--,"11,134.25",--,--,"99,625.22","3,160.67",418.75,--,"102,367.13","21,189.03","81,178.11","66,574.99","14,603.11",0.4970,0.4970,--,--,--,--,600690
2009-03-31,"680,092.99","680,092.99","667,336.30","511,013.25","2,998.42","91,020.04","56,512.86","1,528.32","4,263.41",--,"3,981.87",--,--,"16,738.55","1,191.84",86.38,--,"17,844.00","4,140.31","13,703.69","10,400.68","3,303.01",0.0780,0.0780,--,--,--,--,600690
2010-12-31,"6,058,824.81","6,058,824.81","5,786,536.96","4,642,000.91","16,022.61","781,546.12","341,666.44",665.83,"4,635.04",--,"26,366.60",--,--,"298,654.46","73,747.07","1,170.88",389.30,"371,230.65","88,802.23","282,428.42","203,459.47","78,968.95",1.5200,1.5120,"3,792.95","286,221.37","205,494.95","80,726.42",600690
2010-09-30,"4,543,056.57","4,543,056.57","4,365,993.85","3,411,737.47","9,650.88","668,754.74","258,506.77","10,353.14","6,990.86",--,"18,740.51",--,--,"195,803.23","58,277.35","1,070.18",--,"253,010.39","43,769.36","209,241.04","160,261.02","48,980.02",1.1970,1.1900,"2,161.33","211,402.37","162,167.25","49,235.12",600690
2010-06-30,"2,968,372.81","2,968,372.81","2,854,165.44","2,192,573.84","6,848.29","459,214.65","186,456.66","5,910.79","3,161.21",--,"9,378.14",--,--,"123,585.50","37,616.87",721.93,--,"160,480.44","24,833.00","135,647.44","108,039.82","27,607.62",0.8070,0.8030,"2,236.47","137,883.92","110,083.05","27,800.86",600690
2010-03-31,"1,331,342.09","1,331,342.09","1,283,421.19","961,870.27","2,885.36","229,820.98","84,544.33","1,779.51","2,520.74",--,"3,422.02",--,--,"51,342.92","8,352.19",176.95,7.86,"59,518.16","10,348.88","49,169.28","35,839.50","13,329.77",0.2680,0.2670,-98.96,"49,070.32","35,755.81","13,314.51",600690
2011-12-31,"7,366,250.16","7,366,250.16","7,002,045.84","5,626,308.13","33,188.10","909,934.26","405,320.26","11,538.04","15,757.04",--,"42,076.49",--,--,"406,280.81","36,972.25","1,898.87",463.33,"441,354.18","76,587.92","364,766.27","269,002.22","95,764.05",1.0020,0.9970,-389.36,"364,376.91","269,735.91","94,640.99",600690
2011-09-30,"5,683,197.62","5,683,197.62","5,378,944.25","4,294,382.87","24,285.32","749,337.89","291,675.04","13,377.58","5,885.54",--,"31,921.30",--,--,"336,174.67","21,607.42","1,467.44",--,"356,314.65","61,096.11","295,218.54","225,580.45","69,638.09",0.8420,0.8350,"-2,873.96","292,344.58","223,861.97","68,482.61",600690
2011-06-30,"3,799,469.27","3,799,469.27","3,595,186.97","2,883,536.89","15,666.07","488,554.34","190,592.39","11,392.45","5,444.83",--,"21,086.53",--,--,"225,368.83","14,076.22",500.53,--,"238,944.52","39,941.36","199,003.16","152,703.78","46,299.38",0.5700,0.5660,"-1,353.04","197,650.12","151,704.89","45,945.23",600690
2011-03-31,"1,647,837.91","1,647,837.91","1,579,150.47","1,245,478.33","6,517.68","238,701.97","80,980.99","5,489.17","1,982.34",--,"9,365.77","9,365.77",--,"78,053.20","9,321.55",277.73,14.08,"87,097.02","15,765.25","71,331.77","53,087.22","18,244.55",0.3960,0.3940,"2,445.68","73,777.45","54,365.68","19,411.77",600690
2012-12-31,"7,985,659.78","7,985,659.78","7,512,927.09","5,970,387.08","42,987.22","962,879.82","518,899.60","-2,214.71","19,988.08",--,"54,258.65",--,--,"526,991.35","19,736.52","3,901.01",--,"542,826.85","106,765.79","436,061.06","326,945.94","109,115.12",1.2180,1.2150,-119.60,"435,941.45","326,747.96","109,193.49",600690
